.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR19667519_1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667519_2	1	0.25	1	0.25	0.5	0.5	0.5	0.25	0.25	1
SRR19667520_1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667520_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR19667521_1	1	0.5	1	0.25	1	1	0.5	0.25	0.25	1
SRR19667521_2	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667522_1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667522_2	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667523_1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667523_2	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667524_1	1	0.5	1	0.25	1	1	0.5	0.25	0.25	1
SRR19667524_2	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667525_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667525_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667526_1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667526_2	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667527_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667527_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667528_1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667528_2	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667529_1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667529_2	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667530_1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR19667530_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR19667531_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
