Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
SRR19667519_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00031377553021527617)	(15, 0.0005229592170254602)	(20, 0.0005229592170254602)	(25, 0.0005229592170254602)	(30, 0.0005229592170254602)	(35, 0.0006798469821330984)	(40, 0.0018826531812916568)	(45, 0.002091836868101841)	(50, 0.0030331634587476694)	(55, 0.004026785971096044)	(60, 0.004288265579608774)	(65, 0.004445153344716412)	(70, 0.004445153344716412)	(75, 0.0045497451881215045)	(80, 0.005752551387280062)	(85, 0.012655613052016138)	(90, 0.014433674389902704)	(95, 0.01464285807671289)	(100, 0.015061225450333258)	(105, 0.015165817293738348)	(110, 0.015165817293738348)	(115, 0.015165817293738348)	(120, 0.015845664275871443)	(125, 0.016211735727789268)	(130, 0.01631632757119436)	(135, 0.016473215336302)	(140, 0.017309950083542736)	(145, 0.01788520522227074)	(150, 0.018198980752486014)	(155, 0.018774235891214026)	(160, 0.020290817620587858)	(165, 0.021911991193366787)	(170, 0.02301020554912025)	(175, 0.02301020554912025)	(180, 0.02384694029636099)	(185, 0.07269133116653899)	(190, 0.10119260849442654)	(195, 0.1012449044161291)	(200, 0.10197704731996475)	(205, 0.10354592497104113)	(210, 0.10370281273614876)	(215, 0.10417347603147169)	(220, 0.10459184340509205)	(225, 0.11008291518385938)	(230, 0.11609694617965219)	(235, 0.11620153802305726)	(240, 0.11651531355327256)	(245, 0.11661990539667763)	(250, 0.11661990539667763)	(255, 0.11661990539667763)	(260, 0.11672449724008274)	(265, 0.11729975237881074)	(270, 0.11824107896945657)	(275, 0.12127424242820424)	(280, 0.12153572203671696)	(285, 0.12184949756693224)	(290, 0.12184949756693224)
SRR19667520_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0004034014812902393)	(45, 0.0008068029625804786)	(50, 0.002501089183999484)	(55, 0.0039533345166443455)	(60, 0.004034014812902393)	(65, 0.004034014812902393)	(70, 0.004034014812902393)	(75, 0.004195375405418488)	(80, 0.006696464589417972)	(85, 0.015894018362835428)	(90, 0.01774966517677053)	(95, 0.01783034547302858)	(100, 0.018153066658060768)	(105, 0.018153066658060768)	(110, 0.018153066658060768)	(115, 0.018153066658060768)	(120, 0.020815516434576346)	(125, 0.022832523841027543)	(130, 0.023155245026059736)	(135, 0.02339728591483388)	(140, 0.023639326803608023)	(145, 0.02412340858115631)	(150, 0.02476885095122069)	(155, 0.02557565391380117)	(160, 0.0264631371726397)	(165, 0.028238103690316752)	(170, 0.029044906652897228)	(175, 0.029044906652897228)	(180, 0.02936762783792942)	(185, 0.0821325415906927)	(190, 0.11416261920513773)	(195, 0.11416261920513773)	(200, 0.11416261920513773)	(205, 0.11577622513029869)	(210, 0.11577622513029869)	(215, 0.11577622513029869)	(220, 0.11577622513029869)	(225, 0.12190792764591032)	(230, 0.12973391638294096)	(235, 0.13021799816048923)	(240, 0.13029867845674728)	(245, 0.13029867845674728)	(250, 0.13029867845674728)	(255, 0.13029867845674728)	(260, 0.13046003904926337)	(265, 0.13070207993803754)	(270, 0.13078276023429558)	(275, 0.13667242186113307)	(280, 0.13675310215739112)	(285, 0.13675310215739112)	(290, 0.13675310215739112)
SRR19667521_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 9.838162231295194e-05)	(40, 0.0021643956908849425)	(45, 0.0029514486693885582)	(50, 0.004722317871021694)	(55, 0.006198042205715973)	(60, 0.006394805450341877)	(65, 0.006394805450341877)	(70, 0.0077721481627232025)	(75, 0.007870529785036155)	(80, 0.01524915145850755)	(85, 0.026464656402184074)	(90, 0.02823552560381721)	(95, 0.029317723449259682)	(100, 0.032269172118648236)	(105, 0.03315460671946481)	(110, 0.03344975158640366)	(115, 0.03344975158640366)	(120, 0.03344975158640366)	(125, 0.034335186187220236)	(130, 0.03443356780953318)	(135, 0.03463033105415908)	(140, 0.03531900241034974)	(145, 0.036106055388853364)	(150, 0.03905750405824192)	(155, 0.040238083525997344)	(160, 0.04132028137143982)	(165, 0.05430665551674947)	(170, 0.06296423828028924)	(175, 0.06296423828028924)	(180, 0.06296423828028924)	(185, 0.07378621673471396)	(190, 0.08067293029662059)	(195, 0.08067293029662059)	(200, 0.08126322003049828)	(205, 0.0816567465197501)	(210, 0.0816567465197501)	(215, 0.08205027300900193)	(220, 0.08214865463131488)	(225, 0.08264056274287963)	(230, 0.10320232180628659)	(235, 0.10379261154016428)	(240, 0.10467804614098086)	(245, 0.10516995425254563)	(250, 0.10526833587485858)	(255, 0.10526833587485858)	(260, 0.10526833587485858)	(265, 0.10536671749717152)	(270, 0.10576024398642334)	(275, 0.10576024398642334)	(280, 0.10576024398642334)	(285, 0.10576024398642334)	(290, 0.10576024398642334)
SRR19667521_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005902897338777117)	(15, 0.0009838162231295194)	(20, 0.0009838162231295194)	(25, 0.0009838162231295194)	(30, 0.0009838162231295194)	(35, 0.0011805794677554233)	(40, 0.006394805450341876)	(45, 0.008854346008165674)	(50, 0.012789610900683753)	(55, 0.016036204437011165)	(60, 0.016429730926262976)	(65, 0.017020020660140685)	(70, 0.01770869201633135)	(75, 0.01829898175020906)	(80, 0.030596684539328057)	(85, 0.051453588469673864)	(90, 0.054798563628314235)	(95, 0.05706134094151213)	(100, 0.06030793447783954)	(105, 0.0609966058340302)	(110, 0.0611933690786561)	(115, 0.061685277190220864)	(120, 0.06286585665797628)	(125, 0.06581730532736485)	(130, 0.06778493777362389)	(135, 0.06837522750750159)	(140, 0.06945742535294408)	(145, 0.07112991293226426)	(150, 0.08116483840818535)	(155, 0.08126322003049831)	(160, 0.08352599734369619)	(165, 0.10339908505091248)	(170, 0.11658222244084807)	(175, 0.1168773673077869)	(180, 0.11707413055241281)	(185, 0.13556987554724778)	(190, 0.14767081509174088)	(195, 0.14835948644793154)	(200, 0.1489497761818092)	(205, 0.14983521078262582)	(210, 0.1500319740272517)	(215, 0.15022873727187763)	(220, 0.15052388213881646)	(225, 0.15190122485119778)	(230, 0.18180923803433519)	(235, 0.18308819912440355)	(240, 0.18397363372522013)	(245, 0.18397363372522013)	(250, 0.18397363372522013)	(255, 0.18397363372522013)	(260, 0.18397363372522013)	(265, 0.18426877859215898)	(270, 0.18544935805991442)	(275, 0.18544935805991442)	(280, 0.18544935805991442)	(285, 0.18544935805991442)	(290, 0.18544935805991442)
SRR19667534_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0008184693453999099)	(15, 0.0011692419219998713)	(20, 0.0011692419219998713)	(25, 0.0011692419219998713)	(30, 0.0015200144985998327)	(35, 0.002689256420599704)	(40, 0.006196982186599318)	(45, 0.006430830570999292)	(50, 0.006664678955399267)	(55, 0.008067769261799114)	(60, 0.0081846934539991)	(65, 0.00865239022279905)	(70, 0.010289328913598867)	(75, 0.01227704018099865)	(80, 0.015550917562598288)	(85, 0.027711033551396952)	(90, 0.03075106254859662)	(95, 0.03098491093299659)	(100, 0.03192030447059648)	(105, 0.03215415285499646)	(110, 0.03215415285499646)	(115, 0.03215415285499646)	(120, 0.03215415285499646)	(125, 0.03215415285499646)	(130, 0.03215415285499646)	(135, 0.03238800123939644)	(140, 0.033323394776996335)	(145, 0.033323394776996335)	(150, 0.033323394776996335)	(155, 0.033323394776996335)	(160, 0.033323394776996335)	(165, 0.03379109154579628)	(170, 0.03390801573799627)	(175, 0.03390801573799627)	(180, 0.03402493993019626)	(185, 0.06746525889939257)	(190, 0.08886238607199022)	(195, 0.08886238607199022)	(200, 0.08886238607199022)	(205, 0.0900316279939901)	(210, 0.0900316279939901)	(215, 0.0900316279939901)	(220, 0.0900316279939901)	(225, 0.09400705052878966)	(230, 0.09915171498558908)	(235, 0.09985326013878902)	(240, 0.10055480529198894)	(245, 0.10055480529198894)	(250, 0.10055480529198894)	(255, 0.10055480529198894)	(260, 0.10055480529198894)	(265, 0.10055480529198894)	(270, 0.10055480529198894)	(275, 0.10055480529198894)	(280, 0.10055480529198894)	(285, 0.10055480529198894)	(290, 0.10055480529198894)
SRR19667534_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0003507725765999614)	(45, 0.0005846209609999357)	(50, 0.001052317729799884)	(55, 0.0011692419219998713)	(60, 0.0011692419219998713)	(65, 0.0011692419219998713)	(70, 0.0011692419219998713)	(75, 0.0022215596517997558)	(80, 0.0033908015737996273)	(85, 0.003507725765999614)	(90, 0.003507725765999614)	(95, 0.004092346726999549)	(100, 0.006898527339799241)	(105, 0.012510888565398625)	(110, 0.014381675640598418)	(115, 0.015901690139198253)	(120, 0.017772477214398043)	(125, 0.01870787075199794)	(130, 0.019760188481797825)	(135, 0.022566369094597517)	(140, 0.025372549707397208)	(145, 0.030634138356396633)	(150, 0.052732810682194195)	(155, 0.06571139601639278)	(160, 0.06723141051499261)	(165, 0.06746525889939257)	(170, 0.06781603147599254)	(175, 0.06781603147599254)	(180, 0.06781603147599254)	(185, 0.06781603147599254)	(190, 0.0681668040525925)	(195, 0.06840065243699248)	(200, 0.06851757662919247)	(205, 0.06898527339799242)	(210, 0.06898527339799242)	(215, 0.06898527339799242)	(220, 0.0692191217823924)	(225, 0.06956989435899234)	(230, 0.07050528789659224)	(235, 0.07167452981859213)	(240, 0.07190837820299209)	(245, 0.07342839270159192)	(250, 0.09529321664298952)	(255, 0.12136731150358666)	(260, 0.12183500827238661)	(265, 0.12218578084898654)	(270, 0.12218578084898654)	(275, 0.12300425019438647)	(280, 0.12335502277098645)	(285, 0.12335502277098645)	(290, 0.12335502277098644)
SRR19667534_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0003507725765999614)	(15, 0.0005846209609999357)	(20, 0.0005846209609999357)	(25, 0.0005846209609999357)	(30, 0.0010523177297998842)	(35, 0.005612361225599383)	(40, 0.01835709817539798)	(45, 0.020695582019397724)	(50, 0.0245540803619973)	(55, 0.026892564205997043)	(60, 0.02852950289679686)	(65, 0.03250492543159642)	(70, 0.038935756002595724)	(75, 0.0445481172281951)	(80, 0.060099034790793385)	(85, 0.11902882765958692)	(90, 0.13118894364838557)	(95, 0.13212433718598546)	(100, 0.13341050330018533)	(105, 0.13434589683778522)	(110, 0.1353982145675851)	(115, 0.13574898714418507)	(120, 0.13621668391298503)	(125, 0.13680130487398495)	(130, 0.1371520774505849)	(135, 0.13738592583498488)	(140, 0.13761977421938487)	(145, 0.13878901614138475)	(150, 0.14042595483218456)	(155, 0.1427644386761843)	(160, 0.14381675640598418)	(165, 0.14802602732518372)	(170, 0.1508322079379834)	(175, 0.15106605632238337)	(180, 0.1518845256677833)	(185, 0.2562978293023718)	(190, 0.3246984817393642)	(195, 0.3259846478535642)	(200, 0.32680311719896404)	(205, 0.32680311719896404)	(210, 0.32785543492876396)	(215, 0.3285569800819639)	(220, 0.32949237361956374)	(225, 0.3349878106529631)	(230, 0.3421201863771624)	(235, 0.34317250410696226)	(240, 0.3437571250679622)	(245, 0.3437571250679622)	(250, 0.3437571250679622)	(255, 0.3437571250679622)	(260, 0.3437571250679622)	(265, 0.3439909734523622)	(270, 0.3460956089119619)	(275, 0.34784947179496173)	(280, 0.34784947179496173)	(285, 0.34784947179496173)	(290, 0.34784947179496173)
SRR19667534_2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0003507725765999614)	(40, 0.0005846209609999357)	(45, 0.0005846209609999357)	(50, 0.0005846209609999357)	(55, 0.0005846209609999357)	(60, 0.0005846209609999357)	(65, 0.0005846209609999357)	(70, 0.0005846209609999357)	(75, 0.0005846209609999357)	(80, 0.0012861661141998584)	(85, 0.001753862882999807)	(90, 0.001753862882999807)	(95, 0.001753862882999807)	(100, 0.00245540803619973)	(105, 0.00736622410859919)	(110, 0.01952634009739785)	(115, 0.021280202980397657)	(120, 0.024554080361997296)	(125, 0.02572332228399717)	(130, 0.026892564205997043)	(135, 0.029932593203196706)	(140, 0.03776651408059585)	(145, 0.043612723690595205)	(150, 0.0627882912113931)	(155, 0.11984729700498682)	(160, 0.1279150662667859)	(165, 0.12885045980438584)	(170, 0.13142279203278553)	(175, 0.13177356460938552)	(180, 0.13294280653138538)	(185, 0.13329357910798534)	(190, 0.13387820006898526)	(195, 0.13387820006898526)	(200, 0.13387820006898526)	(205, 0.13387820006898526)	(210, 0.13481359360658518)	(215, 0.13551513875978508)	(220, 0.13563206295198507)	(225, 0.13586591133638506)	(230, 0.13680130487398495)	(235, 0.13761977421938487)	(240, 0.13855516775698476)	(245, 0.13855516775698476)	(250, 0.13867209194918476)	(255, 0.16252462715798213)	(260, 0.17480166733898078)	(265, 0.17480166733898078)	(270, 0.17480166733898078)	(275, 0.17480166733898078)	(280, 0.17515243991558074)	(285, 0.1753862882999807)	(290, 0.1753862882999807)
SRR19667535_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0006644013743617001)	(15, 0.0014237172307750717)	(20, 0.0014237172307750717)	(25, 0.0014237172307750717)	(30, 0.0017084606769300862)	(35, 0.0020881186051367718)	(40, 0.0058846978872036295)	(45, 0.007023671671823687)	(50, 0.009586362687218816)	(55, 0.01186431025645893)	(60, 0.01186431025645893)	(65, 0.01186431025645893)	(70, 0.013382941969285671)	(75, 0.014711744718009073)	(80, 0.016704948841094174)	(85, 0.025057423261641266)	(90, 0.027620114277036388)	(95, 0.028094686687294746)	(100, 0.03027771977448319)	(105, 0.031226864594999904)	(110, 0.031321779077051574)	(115, 0.03217600941551661)	(120, 0.03350481216424002)	(125, 0.03511835835911843)	(130, 0.03578275973348013)	(135, 0.03625733214373849)	(140, 0.037491220410410225)	(145, 0.03796579282066858)	(150, 0.03806070730272025)	(155, 0.038440365230926934)	(160, 0.03882002315913362)	(165, 0.04043356935401203)	(170, 0.04157254313863209)	(175, 0.04176237210273544)	(180, 0.04223694451299379)	(185, 0.07071128912849522)	(190, 0.08921961312857116)	(195, 0.08931452761062283)	(200, 0.08969418553882952)	(205, 0.09016875794908787)	(210, 0.09045350139524289)	(215, 0.09083315932344957)	(220, 0.09149756069781126)	(225, 0.09766700203116992)	(230, 0.10744319368249207)	(235, 0.10886691091326714)	(240, 0.10981605573378386)	(245, 0.11067028607224891)	(250, 0.1113346874466106)	(255, 0.11237874674917898)	(260, 0.11418212190816075)	(265, 0.11608041154919417)	(270, 0.11845327360048596)	(275, 0.11911767497484767)	(280, 0.11959224738510603)	(285, 0.12092105013382941)	(290, 0.12101596461588109)
SRR19667536_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004325976769504748)	(15, 0.0007209961282507913)	(20, 0.0007209961282507913)	(25, 0.0007209961282507913)	(30, 0.0007209961282507913)	(35, 0.0015861914821517407)	(40, 0.007065762056857755)	(45, 0.008796152764659653)	(50, 0.014131524113715507)	(55, 0.01917849701147105)	(60, 0.020908887719272948)	(65, 0.02148568462187358)	(70, 0.02336027455532564)	(75, 0.02710945442222975)	(80, 0.038212794797291935)	(85, 0.08248195707189052)	(90, 0.09372949667260286)	(95, 0.09618088350865554)	(100, 0.10180465330901174)	(105, 0.10555383317591585)	(110, 0.1064190285298168)	(115, 0.108437817688919)	(120, 0.10915881381716978)	(125, 0.11074500529932155)	(130, 0.11175439987887266)	(135, 0.11247539600712345)	(140, 0.11391738826362503)	(145, 0.11694557200227836)	(150, 0.11752236890487897)	(155, 0.11824336503312978)	(160, 0.11824336503312978)	(165, 0.12242514257698436)	(170, 0.1254533263156377)	(175, 0.1254533263156377)	(180, 0.1261743224438885)	(185, 0.1695782893645861)	(190, 0.1975529391407168)	(195, 0.1979855368176673)	(200, 0.1988507321715682)	(205, 0.19986012675111936)	(210, 0.20159051745892126)	(215, 0.20187891591022158)	(220, 0.20187891591022158)	(225, 0.20880047874142918)	(230, 0.22278780362949452)	(235, 0.2266811827220488)	(240, 0.22927676878375164)	(245, 0.22927676878375164)	(250, 0.23028616336330274)	(255, 0.23100715949155354)	(260, 0.23216075329675476)	(265, 0.23302594865065576)	(270, 0.23648673006625956)	(275, 0.23749612464581063)	(280, 0.2383613199997116)	(285, 0.2390823161279624)	(290, 0.2393707145792627)
