Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR19667519_1	7.269917555479435	56.566145189167436
SRR19667519_2	5.7248345487777135	51.910500759598236
SRR19667520_1	7.919174479208688	56.076839914156174
SRR19667520_2	4.752472851080309	54.02473657883277
SRR19667521_1	6.05932411825471	65.27669831275519
SRR19667521_2	6.213783265286044	64.57179398888289
SRR19667522_1	5.3599279357018546	68.01651181976933
SRR19667522_2	5.240986861092567	66.00792357452909
SRR19667523_1	6.927875050445692	67.37137233522844
SRR19667523_2	8.202292535453587	64.95670520599543
SRR19667524_1	4.936065284091821	63.302195948659445
SRR19667524_2	4.175033332797867	64.39013027903164
SRR19667525_1	7.8008101288237635	64.20713621674261
SRR19667525_2	5.8374651378989775	67.57769268227902
SRR19667526_1	6.084943156725928	62.95408375708173
SRR19667526_2	4.683103478732666	64.8492801534327
SRR19667527_1	6.996679061054185	65.68930771195821
SRR19667527_2	6.533072199672636	63.06519826289344
SRR19667528_1	4.764596919822945	64.77533862991656
SRR19667528_2	5.034968755923737	63.86861192496101
SRR19667529_1	4.841289791814255	65.21401311730162
SRR19667529_2	5.241207523023835	64.76953312461433
SRR19667530_1	5.026466411326763	66.1574213538753
SRR19667530_2	5.471159501369942	65.979544117858
SRR19667531_1	7.468808041079428	61.13405440839071
SRR19667531_2	7.006227466404457	61.610947230416244
SRR19667532_1	5.481272896529685	70.33536034679999
SRR19667532_2	7.0383527003431885	70.76283942440845
SRR19667533_1	6.607311550794873	62.7770215918481
SRR19667533_2	6.185600904792904	63.848394584393645
SRR19667534_1	7.09145225692922	60.877749910845274
SRR19667534_2	7.139975796692215	60.82279554051138
SRR19667535_1	6.448015338180299	59.421686060859145
SRR19667535_2	6.25154236033334	60.189544220657176
SRR19667536_1	5.380794105135656	57.36173096750468
SRR19667536_2	5.364932190314138	59.78211497004257
SRR19667537_1	5.900290129670199	62.615565499099176
SRR19667537_2	5.3915058829500175	65.27579235850891
SRR19667538_1	12.111039976006321	58.23946383356693
SRR19667538_2	11.135720012227548	61.70355117978529
SRR19667539_1	10.668220356009162	58.26937758669183
SRR19667539_2	9.661670751798129	61.18522387859794
SRR19667540_1	6.064402200572028	61.343209243006235
SRR19667540_2	5.278052388103629	63.06948102421681
SRR19667541_1	5.043032727900751	65.96528597334562
SRR19667541_2	4.756147875229076	67.77342813006726
SRR19667542_1	8.428841509195017	64.98385331391503
SRR19667542_2	7.250178653809623	64.29275705795622
SRR19667543_1	12.628396888874892	58.73224800831309
SRR19667543_2	11.064017381994521	61.82384985987336
SRR19667544_1	5.2340300400196655	55.01490973750591
SRR19667544_2	5.365437896004006	57.96524583836834
SRR19667545_1	3.8741813720624205	55.656773136022665
SRR19667545_2	3.1070318644481945	57.51839606193193
SRR19667546_1	4.0742662632868925	52.014451178319334
SRR19667546_2	4.131705454438646	46.186657789700746
SRR19667547_1	5.251743448858834	54.320054945054935
SRR19667547_2	5.4739010989010985	55.995086644125095
SRR19667548_1	4.77709490235228	56.79296395665645
SRR19667548_2	5.108826771489778	57.74578315758825
SRR19667549_1	4.981859608178611	55.62559781623178
SRR19667549_2	4.559252845639869	53.31212686231434
SRR19667550_1	5.7586183236784585	55.12296487977967
SRR19667550_2	7.359759265249312	51.44087981886082
SRR19667551_1	9.866129702581993	56.61068738036838
SRR19667551_2	6.088259569062908	52.37390026750643
SRR19667552_1	4.927002473718247	57.147699490111165
SRR19667552_2	8.467616888596135	47.40067263981075
SRR19667553_1	7.811637679021251	55.471042407750424
SRR19667553_2	5.652727461490965	52.31163494691519
SRR19667554_1	3.3067110621161335	69.79594591554363
SRR19667554_2	6.7461585187518285	63.97669238903012
SRR19667555_1	2.457794586122894	64.07982828231206
SRR19667555_2	6.225617962215294	63.65479293368088
