Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR19667519_1	(1, 31.586770700686905)	(2, 32.83431867565808)	(3, 33.49378332230761)	(4, 33.54779977983417)	(5, 33.743742139269266)	(6, 36.19825383917435)	(7, 31.825247948038772)	(8, 27.054651852975244)	(9, 26.813031620729056)	(10, 27.10105297838348)	(15, 35.23698995133864)	(20, 36.51530832368037)	(25, 36.17248868446994)	(30, 36.03852379072218)	(35, 36.34322441469055)	(40, 35.68680709239102)	(45, 36.200878612837684)	(50, 35.728178511089915)	(55, 35.505546050841616)	(60, 36.0787036429879)	(65, 34.39526229924918)	(70, 35.06802992136333)	(75, 34.8237919816133)	(80, 35.1393885163007)	(85, 34.13907565342678)	(90, 34.526627122773235)	(95, 34.52712919762306)	(100, 33.43694112514463)	(105, 34.50851181700502)	(110, 33.813130999596794)	(115, 32.40799254079771)	(120, 32.20718746527125)	(125, 32.054282781928066)	(130, 31.802294335214533)	(135, 32.17232340778488)	(140, 32.07057308498336)	(145, 32.030355475212346)	(150, 31.74549859846539)	(155, 31.44181774101757)	(160, 31.569678381281545)	(165, 30.91907757726878)	(170, 30.960198259523658)	(175, 31.137441664353315)	(180, 30.049772107287225)	(185, 29.82922947358124)	(190, 29.88221561821236)	(195, 29.24080734035137)	(200, 30.129708734961024)	(205, 29.088329747253816)	(210, 29.22408183686274)	(215, 28.084839287210343)	(220, 28.43102775448844)	(225, 28.233211105716368)	(230, 27.428852706374993)	(235, 26.796058677930944)	(240, 26.51758811882103)	(245, 27.051446529633477)	(250, 26.088778988382238)	(255, 26.027791412821976)	(260, 25.71105870229867)	(265, 24.480438193300824)	(270, 23.69756923422691)	(275, 23.252672931038305)	(280, 23.378987535105086)	(285, 22.357507546355457)	(290, 20.448259465171642)	(295, 20.663501225480946)	(300, 19.088079843971727)
SRR19667519_2	(1, 32.84435164823671)	(2, 32.90758526196335)	(3, 27.186006134311615)	(4, 30.498994610905267)	(5, 32.09434968713965)	(6, 35.70927128247904)	(7, 34.89733787610573)	(8, 34.237130627368025)	(9, 36.71676528805901)	(10, 35.6739432955321)	(15, 34.91349783887104)	(20, 35.770969487944484)	(25, 35.52668216369146)	(30, 34.74181608047296)	(35, 34.6911761554468)	(40, 35.067709120828965)	(45, 34.76928230190544)	(50, 35.15259125867051)	(55, 34.242420200942476)	(60, 33.74529395282052)	(65, 34.24100328938458)	(70, 34.3183887048333)	(75, 34.843251288825854)	(80, 34.33032132697163)	(85, 34.12520620266153)	(90, 34.245375432056875)	(95, 33.58197169514764)	(100, 33.13667996602514)	(105, 33.69859399979826)	(110, 33.43423829689012)	(115, 33.52860580386333)	(120, 32.60617100391452)	(125, 32.812800848250944)	(130, 33.25898092749497)	(135, 31.598838114502797)	(140, 31.820248146899182)	(145, 31.214201866377813)	(150, 31.495463974024183)	(155, 29.298923054426687)	(160, 30.997022078128243)	(165, 29.761901575677605)	(170, 30.108728830809405)	(175, 30.01351018826831)	(180, 30.046523741756523)	(185, 29.35551739316736)	(190, 29.21809307139817)	(195, 28.25805716688284)	(200, 27.133427379959244)	(205, 25.602999755668872)	(210, 26.954294894702798)	(215, 26.54392122869866)	(220, 23.860315262483557)	(225, 22.308327300620686)	(230, 22.99411747342115)	(235, 20.92831531765697)	(240, 20.181156627646235)	(245, 22.920014657923364)	(250, 20.852743179511982)	(255, 18.469980914726154)	(260, 19.031045526191622)	(265, 19.57324134596873)	(270, 16.54002452256914)	(275, 16.140526566450653)	(280, 15.252852794333853)	(285, 16.498498338496603)	(290, 15.021226809938605)	(295, 15.915656464810677)	(300, 11.513752750218487)
SRR19667520_1	(1, 31.620758233424233)	(2, 32.868063511529215)	(3, 33.501944395139816)	(4, 33.54856550433253)	(5, 33.7503751633776)	(6, 36.236078614880675)	(7, 31.909553353879915)	(8, 27.11008019621448)	(9, 26.844145837703515)	(10, 27.073235118519356)	(15, 35.25800751940361)	(20, 36.54416600777758)	(25, 36.1917012247269)	(30, 36.08613670469398)	(35, 36.40622529165927)	(40, 35.812471605947295)	(45, 36.286336461115184)	(50, 35.83434280792561)	(55, 35.59068993464956)	(60, 36.12086033212451)	(65, 34.49444017335259)	(70, 35.156820557499834)	(75, 34.94085796675194)	(80, 35.28277271456449)	(85, 34.25022131627183)	(90, 34.64401036290693)	(95, 34.618839029049965)	(100, 33.63821796342939)	(105, 34.66003864456677)	(110, 33.95337273029661)	(115, 32.57692536836832)	(120, 32.470639374597226)	(125, 32.18756057556444)	(130, 31.964878442953513)	(135, 32.34864494519656)	(140, 32.235209902692915)	(145, 32.14653119626263)	(150, 31.92155952522763)	(155, 31.661515009824853)	(160, 31.780885823264253)	(165, 31.134081879498545)	(170, 31.101311472980058)	(175, 31.26281902444822)	(180, 30.175861527133588)	(185, 29.97451264281125)	(190, 30.10417388053029)	(195, 29.42058426919026)	(200, 30.275811148142402)	(205, 29.188621805210836)	(210, 29.379838143280132)	(215, 28.25155300379048)	(220, 28.67302903706967)	(225, 28.38383950087108)	(230, 27.644132091868745)	(235, 26.96623304753688)	(240, 26.707632761371407)	(245, 27.231679581935985)	(250, 26.350365070297606)	(255, 26.27782598432247)	(260, 25.899212053625938)	(265, 24.66664313866176)	(270, 23.892193330299897)	(275, 23.415335199197035)	(280, 23.47516447594635)	(285, 22.371222634173467)	(290, 20.51171137111279)	(295, 20.726692746206414)	(300, 19.44216151160579)
SRR19667520_2	(1, 32.67492698433189)	(2, 32.63447791780291)	(3, 26.6990988010908)	(4, 30.397003533796976)	(5, 31.950849563519597)	(6, 35.146321785293594)	(7, 34.91278056573024)	(8, 34.430848918077224)	(9, 36.81718248269408)	(10, 35.826733416165105)	(15, 35.033738079486234)	(20, 35.86517999774095)	(25, 35.65510867635906)	(30, 34.983032933696926)	(35, 34.917244606522196)	(40, 35.25408897355244)	(45, 34.932898457765035)	(50, 35.32465426772487)	(55, 34.45710909827305)	(60, 34.14116463362056)	(65, 34.532523016687875)	(70, 34.62291418409013)	(75, 34.94913193113549)	(80, 34.52571155728614)	(85, 34.3630138703535)	(90, 34.40472271925754)	(95, 33.94265173296307)	(100, 33.30574413568469)	(105, 33.87956962931305)	(110, 33.560905817309184)	(115, 33.71193718334309)	(120, 32.813883479429975)	(125, 33.10474840928346)	(130, 33.422024811977465)	(135, 31.935754504415833)	(140, 32.0973510054313)	(145, 31.538602452994656)	(150, 31.6802926218247)	(155, 29.65088770311717)	(160, 31.202674284194945)	(165, 30.070261537378673)	(170, 30.395920840064623)	(175, 30.293801078400254)	(180, 30.286482594048003)	(185, 29.472655140293405)	(190, 29.556343189797058)	(195, 28.328247931839087)	(200, 27.27610327638849)	(205, 25.987149297784697)	(210, 27.14622071581483)	(215, 26.870750235261614)	(220, 23.967212507242667)	(225, 22.56914844761494)	(230, 23.261241602580352)	(235, 21.12777061699537)	(240, 20.427599386518004)	(245, 23.030272415220196)	(250, 21.072586443346236)	(255, 18.581712393797016)	(260, 19.280578750476746)	(265, 19.84618044290707)	(270, 16.61681932110606)	(275, 16.272631694679262)	(280, 15.434315050425113)	(285, 16.64153243643595)	(290, 15.181454034837097)	(295, 16.00642905924222)	(300, 11.644164271559985)
SRR19667521_1	(1, 32.69309361011363)	(2, 33.543012445275224)	(3, 33.82296227064784)	(4, 33.83299227704265)	(5, 33.90550937084952)	(6, 36.941182547100205)	(7, 34.191357174479805)	(8, 31.859048649712232)	(9, 31.16430714742486)	(10, 30.779416596979683)	(15, 36.398471149589255)	(20, 36.80575138964041)	(25, 36.915309164248114)	(30, 36.894388312263274)	(35, 36.986158886361146)	(40, 36.77459561442397)	(45, 37.16470664160439)	(50, 36.721716539309504)	(55, 36.604543838794044)	(60, 36.83382647555704)	(65, 36.184474214548445)	(70, 36.49192077691879)	(75, 36.11673441870712)	(80, 36.48750936266656)	(85, 36.24835946248059)	(90, 36.50995212007099)	(95, 36.40101202724854)	(100, 35.564341080912996)	(105, 36.11993095418188)	(110, 35.71891969389654)	(115, 34.93806631178038)	(120, 34.81215226124351)	(125, 34.64112990537875)	(130, 34.74347751038826)	(135, 34.659866633632575)	(140, 34.48391877395106)	(145, 34.592886510709754)	(150, 34.377500288410744)	(155, 34.712571473697224)	(160, 34.637449269113624)	(165, 34.0511413376561)	(170, 33.90668017272305)	(175, 33.97773962703614)	(180, 34.048535324843336)	(185, 33.707062792630055)	(190, 33.78362231667437)	(195, 33.48104235388412)	(200, 33.578887885004725)	(205, 33.37007708899819)	(210, 33.226665940090996)	(215, 32.49145073548998)	(220, 33.08779854254841)	(225, 32.29639418472252)	(230, 32.507063296393525)	(235, 32.26809128472992)	(240, 32.15941996945092)	(245, 31.958630112469017)	(250, 31.651484820163404)	(255, 31.92563433034715)	(260, 31.656826660152547)	(265, 31.012690997348898)	(270, 30.37349874690468)	(275, 31.048774211978383)	(280, 30.440507533897676)	(285, 28.533951254338508)	(290, 27.432717096226035)	(295, 27.033697537239)	(300, 22.705309119373894)
SRR19667521_2	(1, 33.079359535638744)	(2, 33.318185842884546)	(3, 33.521584927935464)	(4, 33.212504304195974)	(5, 33.36415957499139)	(6, 37.42046829652221)	(7, 36.358217325003686)	(8, 36.116518274386344)	(9, 37.14110384180235)	(10, 36.7522799940971)	(15, 36.5164523586994)	(20, 36.700265630380244)	(25, 36.479899650745246)	(30, 36.35711741846624)	(35, 36.23503022818576)	(40, 36.337289514838)	(45, 36.53835364438649)	(50, 36.574744832357496)	(55, 35.96330648273543)	(60, 35.2464590186846)	(65, 35.82067799286088)	(70, 35.94381938446164)	(75, 36.66314272537856)	(80, 35.85682101407154)	(85, 35.84206670407949)	(90, 35.76072471606616)	(95, 35.61627778173261)	(100, 35.50581846461474)	(105, 35.39985218635297)	(110, 35.54251783987023)	(115, 35.552060855238004)	(120, 35.07576556289575)	(125, 34.97322122504969)	(130, 35.64831057816089)	(135, 34.46381592130101)	(140, 34.555518080166635)	(145, 33.58774879829638)	(150, 34.08125043057068)	(155, 32.77185042819642)	(160, 33.91013754355319)	(165, 33.52145109756392)	(170, 32.869894519002436)	(175, 32.30214094859211)	(180, 32.59412025375001)	(185, 32.63404708708954)	(190, 32.13669525018401)	(195, 31.81560192903995)	(200, 30.855962015606128)	(205, 28.820798964731004)	(210, 29.34978536382538)	(215, 28.37541288001509)	(220, 26.61395217664056)	(225, 25.680302385002914)	(230, 29.55933517681158)	(235, 27.027676778057714)	(240, 24.92623316522485)	(245, 24.851896780525372)	(250, 23.819304528129898)	(255, 21.02817780790615)	(260, 20.92747042501828)	(265, 22.33088778346839)	(270, 19.92217352630599)	(275, 20.360376412867666)	(280, 17.369683520843143)	(285, 17.906071453533958)	(290, 15.957954055007354)	(295, 16.78172759225321)	(300, 13.65425768662887)
SRR19667522_1	(1, 32.74648351295962)	(2, 33.56455031236608)	(3, 33.82739842636294)	(4, 33.838455864990216)	(5, 33.90434280683445)	(6, 36.97713008013947)	(7, 34.26651546379731)	(8, 31.940296244902004)	(9, 31.264480638550317)	(10, 30.832824238325266)	(15, 36.417153168701006)	(20, 36.84264737178123)	(25, 36.960302250260185)	(30, 36.97198179735123)	(35, 37.04546901588926)	(40, 36.85415833871116)	(45, 37.22307704469445)	(50, 36.79121396464268)	(55, 36.626860849886214)	(60, 36.93453810546491)	(65, 36.26012687178788)	(70, 36.582641796192476)	(75, 36.23325236069062)	(80, 36.63323510584179)	(85, 36.38022842266044)	(90, 36.64089385715299)	(95, 36.44685001032663)	(100, 35.59263823669108)	(105, 36.23971687948398)	(110, 35.91425718974786)	(115, 35.055240133129885)	(120, 34.95793484395607)	(125, 34.78080817175001)	(130, 34.88345549133577)	(135, 34.84606575942242)	(140, 34.697709028421436)	(145, 34.78655872704826)	(150, 34.58668448692113)	(155, 34.852578206890215)	(160, 34.84849467034489)	(165, 34.31227006788257)	(170, 34.14702995897331)	(175, 34.19665888734101)	(180, 34.29347390985176)	(185, 33.95258744554136)	(190, 34.01478540212239)	(195, 33.75173623476596)	(200, 33.86200745639002)	(205, 33.61615191883568)	(210, 33.47532801430812)	(215, 32.748555553537926)	(220, 33.257717837511755)	(225, 32.61904886026912)	(230, 32.80826282911586)	(235, 32.543667765103194)	(240, 32.506127761304704)	(245, 32.27554321251627)	(250, 31.894077027102348)	(255, 32.23496264767296)	(260, 32.01767149327638)	(265, 31.380377220298573)	(270, 30.788491230445903)	(275, 31.488829506631653)	(280, 30.853897950022446)	(285, 29.026031822409475)	(290, 27.979473325825854)	(295, 27.51035955698668)	(300, 22.69695823151642)
SRR19667522_2	(1, 32.91607366184003)	(2, 32.85742813247937)	(3, 33.56421214656572)	(4, 33.46381771697271)	(5, 33.30940421599466)	(6, 37.34700475472776)	(7, 36.25262151375839)	(8, 35.95711124780265)	(9, 37.09495170934066)	(10, 36.738393187708255)	(15, 36.484588093648604)	(20, 36.70002652852399)	(25, 36.51962556883277)	(30, 36.39794418515161)	(35, 36.22075154768464)	(40, 36.31104214847723)	(45, 36.57664301984732)	(50, 36.570235842129414)	(55, 35.97426687884543)	(60, 35.29544996214254)	(65, 35.82847717718093)	(70, 35.95824194756996)	(75, 36.71426169984734)	(80, 35.96109051895181)	(85, 35.777741019776826)	(90, 35.808249301934495)	(95, 35.54425661005865)	(100, 35.49268212956276)	(105, 35.398011094890514)	(110, 35.523948775351066)	(115, 35.548685752029954)	(120, 35.01185885908552)	(125, 34.89324398978551)	(130, 35.62942673717657)	(135, 34.429980887042085)	(140, 34.53760112878713)	(145, 33.67065619781485)	(150, 34.07626999111114)	(155, 32.749258661875594)	(160, 33.91901239850259)	(165, 33.44035566749167)	(170, 32.699981542424176)	(175, 32.200490687326464)	(180, 32.472917415488986)	(185, 32.727562505146665)	(190, 32.0076402257754)	(195, 31.9549713414272)	(200, 30.931041340294133)	(205, 28.89123956307691)	(210, 29.439664735589268)	(215, 28.41172964783176)	(220, 26.61687500387232)	(225, 25.749773647724915)	(230, 29.96224248948451)	(235, 27.274579826397037)	(240, 25.221185279361357)	(245, 25.247511710947304)	(250, 24.082983176036112)	(255, 21.290225665929402)	(260, 21.072740542299158)	(265, 22.549167706945628)	(270, 20.221138806124884)	(275, 20.786351199210024)	(280, 17.418399207400718)	(285, 18.125241605721737)	(290, 16.05707462111907)	(295, 17.038596097336324)	(300, 13.779717031779027)
SRR19667523_1	(1, 32.6954744019088)	(2, 33.55050941298914)	(3, 33.82624379606488)	(4, 33.8500789430831)	(5, 33.9076542930169)	(6, 36.96930423885416)	(7, 34.175692610502615)	(8, 31.88429705255556)	(9, 31.157450740224157)	(10, 30.79491507423482)	(15, 36.4489270112786)	(20, 36.825567646788116)	(25, 37.01656105521768)	(30, 36.91208572581616)	(35, 37.02836480180252)	(40, 36.76070387572206)	(45, 37.213073851538624)	(50, 36.79460822653126)	(55, 36.648868044207404)	(60, 36.89017619039187)	(65, 36.2904488869285)	(70, 36.620736005879266)	(75, 36.139952626991345)	(80, 36.50282256410985)	(85, 36.251076527706026)	(90, 36.59442782234765)	(95, 36.49888149563873)	(100, 35.62047013780002)	(105, 36.31087978485239)	(110, 35.83553767389384)	(115, 35.0593157996576)	(120, 34.93138730938979)	(125, 34.78880366158125)	(130, 34.87861311102377)	(135, 34.92211592550395)	(140, 34.82319376691862)	(145, 34.78014733425799)	(150, 34.55259203825538)	(155, 34.84470855730466)	(160, 34.87280568575535)	(165, 34.29858666580518)	(170, 34.112965463946225)	(175, 34.26308300357938)	(180, 34.388327487748676)	(185, 33.897298874651895)	(190, 34.096738788103835)	(195, 33.701289732502396)	(200, 33.95333933056801)	(205, 33.63701650624613)	(210, 33.55137874947634)	(215, 32.736691338453284)	(220, 33.29781151981751)	(225, 32.45423933539449)	(230, 32.767317284417416)	(235, 32.613424542402754)	(240, 32.46364196697309)	(245, 32.47041407553198)	(250, 32.10681083559035)	(255, 32.31980914070524)	(260, 32.2374243980372)	(265, 31.373355934335894)	(270, 30.926956862682893)	(275, 31.703582431315777)	(280, 30.914790827436672)	(285, 28.96627494338142)	(290, 27.953379656643648)	(295, 27.788701794563785)	(300, 22.44208553435087)
SRR19667523_2	(1, 32.96538540508776)	(2, 32.96398000580568)	(3, 33.64507119037673)	(4, 33.49902294659483)	(5, 33.32779433733831)	(6, 37.33361771723508)	(7, 36.26457260993621)	(8, 35.96879093181158)	(9, 37.1014471718552)	(10, 36.722104771277465)	(15, 36.49307566499812)	(20, 36.8003568368958)	(25, 36.59091906740961)	(30, 36.43076089803952)	(35, 36.27014495468172)	(40, 36.453567345644686)	(45, 36.66951130988746)	(50, 36.63104094164494)	(55, 36.07472165293733)	(60, 35.27019021344563)	(65, 35.93295702158754)	(70, 36.056815700847174)	(75, 36.79771834764959)	(80, 36.04034848596425)	(85, 35.96684877500155)	(90, 35.798022130499945)	(95, 35.625265147762875)	(100, 35.6694561544166)	(105, 35.55073079706546)	(110, 35.75224986164521)	(115, 35.99308470468474)	(120, 35.14837919675169)	(125, 35.0613828158587)	(130, 35.771595739233746)	(135, 34.705382740031666)	(140, 34.63080238931806)	(145, 33.724027111390086)	(150, 34.32051948490244)	(155, 32.80436211768534)	(160, 34.00686639510829)	(165, 33.97424980354135)	(170, 33.34277306412718)	(175, 32.740202121669554)	(180, 32.93211977592311)	(185, 32.95055984890293)	(190, 32.63806949311907)	(195, 32.173118822015454)	(200, 31.25506590933578)	(205, 29.431835054030152)	(210, 30.403200575576466)	(215, 28.96162331042482)	(220, 27.05808204930937)	(225, 26.332279751817204)	(230, 30.61843178874068)	(235, 27.897599934453023)	(240, 25.63298404859853)	(245, 25.767335958239055)	(250, 24.63238345057696)	(255, 21.689542229807977)	(260, 21.44312881490007)	(265, 22.81830363604981)	(270, 20.62246491870915)	(275, 21.093072339750133)	(280, 17.82838310759658)	(285, 18.575503426256205)	(290, 16.41384354291055)	(295, 17.408189989989857)	(300, 13.936655095087112)
