Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR19667519_1	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.6666666666666666)	(39.0, 0.9166666666666665)	(40.0, 1.0)	(41.0, 1.5833333333333333)	(42.0, 3.5)	(43.0, 5.916666666666666)	(44.0, 8.583333333333332)	(45.0, 25.416666666666668)	(46.0, 141.00000000000003)	(47.0, 258.5000000000002)	(48.0, 833.0833333333355)	(49.0, 2211.833333333322)	(50.0, 3118.833333333368)	(51.0, 4955.583333333333)	(52.0, 10330.583333333381)	(53.0, 13295.250000000426)	(54.0, 18753.666666666853)	(55.0, 22044.833333332954)	(56.0, 16657.500000000753)	(57.0, 12546.666666667254)	(58.0, 8954.583333333112)	(59.0, 5728.916666666586)	(60.0, 3949.8333333333926)	(61.0, 2476.9166666666656)	(62.0, 1626.5833333333294)	(63.0, 1125.0833333333342)	(64.0, 806.250000000001)	(65.0, 1023.0833333333345)	(66.0, 958.7500000000009)	(67.0, 403.41666666666634)	(68.0, 166.75000000000009)	(69.0, 84.83333333333333)	(70.0, 36.83333333333333)	(71.0, 9.333333333333332)	(72.0, 6.0)	(73.0, 3.0)	(74.0, 1.25)	(75.0, 0.5)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.25)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR19667519_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.25)	(37.0, 0.3333333333333333)	(38.0, 0.5)	(39.0, 0.8333333333333333)	(40.0, 2.4166666666666665)	(41.0, 3.3333333333333335)	(42.0, 5.249999999999999)	(43.0, 5.583333333333333)	(44.0, 8.5)	(45.0, 24.08333333333333)	(46.0, 106.83333333333327)	(47.0, 370.4999999999998)	(48.0, 916.0833333333366)	(49.0, 1774.8333333333198)	(50.0, 3687.7500000000477)	(51.0, 7908.999999999881)	(52.0, 11941.583333333438)	(53.0, 15301.166666666843)	(54.0, 18213.416666666726)	(55.0, 18722.250000000044)	(56.0, 15461.583333333414)	(57.0, 10941.25000000002)	(58.0, 7518.749999999976)	(59.0, 4839.833333333336)	(60.0, 2728.666666666667)	(61.0, 1621.833333333332)	(62.0, 1135.333333333334)	(63.0, 917.1666666666675)	(64.0, 979.9166666666674)	(65.0, 1127.166666666667)	(66.0, 1067.5833333333337)	(67.0, 821.5000000000003)	(68.0, 523.1666666666665)	(69.0, 269.91666666666674)	(70.0, 135.75)	(71.0, 81.74999999999999)	(72.0, 57.75)	(73.0, 43.75)	(74.0, 33.0)	(75.0, 23.75)	(76.0, 15.25)	(77.0, 7.5)	(78.0, 1.5)	(79.0, 1.5)	(80.0, 1.25)	(81.0, 0.5)	(82.0, 0.5)	(83.0, 0.75)	(84.0, 0.75)	(85.0, 1.0)	(86.0, 1.0)	(87.0, 0.5)	(88.0, 0.25)	(89.0, 0.5)	(90.0, 0.25)	(91.0, 0.0)	(92.0, 0.25)	(93.0, 0.75)	(94.0, 0.0)	(95.0, 0.5)	(96.0, 0.25)	(97.0, 0.25)	(98.0, 0.25)	(99.0, 0.25)	(100.0, 0.6666666666666666)
SRR19667520_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.25)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.3333333333333333)	(39.0, 0.0)	(40.0, 0.3333333333333333)	(41.0, 0.8333333333333333)	(42.0, 1.5833333333333333)	(43.0, 2.25)	(44.0, 6.333333333333333)	(45.0, 11.416666666666666)	(46.0, 82.08333333333333)	(47.0, 146.16666666666666)	(48.0, 446.74999999999926)	(49.0, 1201.5833333333348)	(50.0, 1714.333333333318)	(51.0, 2630.0000000000123)	(52.0, 5331.999999999959)	(53.0, 7724.333333333162)	(54.0, 11720.91666666687)	(55.0, 15091.750000000455)	(56.0, 11559.833333333589)	(57.0, 8687.74999999975)	(58.0, 6286.083333333138)	(59.0, 4078.1666666667556)	(60.0, 2878.500000000014)	(61.0, 1882.666666666654)	(62.0, 1262.7499999999989)	(63.0, 875.2500000000008)	(64.0, 654.25)	(65.0, 801.0833333333337)	(66.0, 757.5833333333333)	(67.0, 334.9999999999999)	(68.0, 148.83333333333331)	(69.0, 59.916666666666686)	(70.0, 22.166666666666668)	(71.0, 6.5)	(72.0, 3.75)	(73.0, 1.5833333333333333)	(74.0, 0.5833333333333333)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.25)	(97.0, 0.25)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR19667520_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.5833333333333333)	(38.0, 1.0833333333333333)	(39.0, 2.9166666666666665)	(40.0, 1.8333333333333333)	(41.0, 3.25)	(42.0, 2.5)	(43.0, 2.6666666666666665)	(44.0, 5.583333333333333)	(45.0, 12.0)	(46.0, 61.83333333333336)	(47.0, 201.58333333333346)	(48.0, 539.4166666666654)	(49.0, 1058.2500000000043)	(50.0, 2001.4166666666504)	(51.0, 4226.583333333367)	(52.0, 7312.833333333279)	(53.0, 9833.08333333334)	(54.0, 11335.083333333376)	(55.0, 12001.08333333339)	(56.0, 10679.58333333335)	(57.0, 7538.333333333305)	(58.0, 5193.416666666669)	(59.0, 3372.000000000003)	(60.0, 1888.9166666666658)	(61.0, 1118.7500000000002)	(62.0, 791.1666666666667)	(63.0, 697.0000000000003)	(64.0, 742.916666666667)	(65.0, 886.6666666666673)	(66.0, 861.3333333333337)	(67.0, 675.1666666666667)	(68.0, 419.5833333333332)	(69.0, 212.5)	(70.0, 113.58333333333333)	(71.0, 68.16666666666667)	(72.0, 47.75)	(73.0, 30.25)	(74.0, 26.25)	(75.0, 19.5)	(76.0, 10.25)	(77.0, 5.083333333333333)	(78.0, 2.25)	(79.0, 1.0)	(80.0, 1.25)	(81.0, 0.75)	(82.0, 0.5)	(83.0, 0.5)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.25)	(87.0, 0.25)	(88.0, 0.0)	(89.0, 0.25)	(90.0, 0.25)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.25)	(95.0, 0.25)	(96.0, 0.25)	(97.0, 0.25)	(98.0, 0.0)	(99.0, 0.25)	(100.0, 0.3333333333333333)
SRR19667521_1	(0.0, 15.0)	(1.0, 7.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.5)	(35.0, 0.75)	(36.0, 0.25)	(37.0, 0.75)	(38.0, 1.75)	(39.0, 2.25)	(40.0, 3.25)	(41.0, 4.833333333333334)	(42.0, 7.0)	(43.0, 14.333333333333334)	(44.0, 13.5)	(45.0, 17.249999999999996)	(46.0, 46.416666666666664)	(47.0, 170.33333333333334)	(48.0, 518.8333333333326)	(49.0, 1709.249999999996)	(50.0, 3094.5000000000064)	(51.0, 4531.833333333347)	(52.0, 7108.6666666665515)	(53.0, 8113.416666666563)	(54.0, 8385.833333333221)	(55.0, 10109.166666666699)	(56.0, 8867.083333333194)	(57.0, 6954.999999999731)	(58.0, 4859.749999999996)	(59.0, 3010.5000000000464)	(60.0, 2938.9166666666797)	(61.0, 1286.5833333333326)	(62.0, 419.2499999999997)	(63.0, 210.41666666666669)	(64.0, 115.33333333333333)	(65.0, 97.24999999999999)	(66.0, 60.0)	(67.0, 16.333333333333336)	(68.0, 7.416666666666667)	(69.0, 3.9166666666666665)	(70.0, 3.0)	(71.0, 1.3333333333333333)	(72.0, 0.5)	(73.0, 0.75)	(74.0, 0.5)	(75.0, 0.5)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.5)	(82.0, 0.5)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR19667521_2	(0.0, 16.0)	(1.0, 8.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.75)	(37.0, 3.25)	(38.0, 8.25)	(39.0, 10.25)	(40.0, 9.75)	(41.0, 9.0)	(42.0, 5.666666666666667)	(43.0, 6.249999999999999)	(44.0, 17.500000000000004)	(45.0, 41.41666666666667)	(46.0, 85.41666666666667)	(47.0, 344.16666666666646)	(48.0, 990.5833333333367)	(49.0, 2168.7499999999914)	(50.0, 2724.583333333339)	(51.0, 3119.250000000008)	(52.0, 5793.666666666651)	(53.0, 8731.999999999984)	(54.0, 11673.500000000033)	(55.0, 11170.750000000024)	(56.0, 7329.083333333318)	(57.0, 4459.916666666669)	(58.0, 4410.91666666667)	(59.0, 3959.6666666666692)	(60.0, 1705.1666666666665)	(61.0, 638.5833333333334)	(62.0, 279.6666666666667)	(63.0, 177.16666666666666)	(64.0, 147.83333333333334)	(65.0, 127.33333333333333)	(66.0, 131.75)	(67.0, 92.41666666666666)	(68.0, 50.25)	(69.0, 19.5)	(70.0, 9.0)	(71.0, 3.5)	(72.0, 1.25)	(73.0, 1.5)	(74.0, 0.75)	(75.0, 0.75)	(76.0, 1.0)	(77.0, 0.75)	(78.0, 0.25)	(79.0, 0.25)	(80.0, 0.75)	(81.0, 0.5)	(82.0, 0.5)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.25)	(86.0, 0.5)	(87.0, 0.5)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.25)	(92.0, 0.25)	(93.0, 0.0)	(94.0, 0.25)	(95.0, 0.25)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.25)	(100.0, 0.6666666666666666)
SRR19667522_1	(0.0, 18.0)	(1.0, 9.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.25)	(35.0, 1.3333333333333333)	(36.0, 1.5833333333333333)	(37.0, 0.75)	(38.0, 0.8333333333333333)	(39.0, 0.3333333333333333)	(40.0, 2.5)	(41.0, 3.5)	(42.0, 4.25)	(43.0, 8.666666666666666)	(44.0, 11.083333333333334)	(45.0, 26.5)	(46.0, 127.41666666666663)	(47.0, 647.4166666666671)	(48.0, 1905.9166666666606)	(49.0, 4705.916666666677)	(50.0, 6857.083333333289)	(51.0, 7966.83333333328)	(52.0, 12023.083333333416)	(53.0, 14927.083333333603)	(54.0, 13506.75000000025)	(55.0, 16449.666666667057)	(56.0, 12356.500000000284)	(57.0, 8347.833333333032)	(58.0, 5441.749999999916)	(59.0, 4079.5000000001037)	(60.0, 5612.833333333309)	(61.0, 2242.5833333333303)	(62.0, 581.4166666666665)	(63.0, 266.91666666666686)	(64.0, 168.66666666666663)	(65.0, 187.75000000000006)	(66.0, 140.5)	(67.0, 38.0)	(68.0, 11.583333333333336)	(69.0, 6.25)	(70.0, 2.083333333333333)	(71.0, 1.0)	(72.0, 0.5)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.3333333333333333)	(78.0, 0.3333333333333333)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.25)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR19667522_2	(0.0, 18.0)	(1.0, 9.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.75)	(34.0, 1.25)	(35.0, 1.3333333333333333)	(36.0, 1.0)	(37.0, 3.0)	(38.0, 4.666666666666667)	(39.0, 4.416666666666666)	(40.0, 4.583333333333333)	(41.0, 7.333333333333333)	(42.0, 10.500000000000002)	(43.0, 14.083333333333332)	(44.0, 20.416666666666664)	(45.0, 29.166666666666664)	(46.0, 92.58333333333326)	(47.0, 548.8333333333326)	(48.0, 2217.1666666666633)	(49.0, 5069.583333333336)	(50.0, 6871.16666666665)	(51.0, 6793.999999999974)	(52.0, 10067.083333333341)	(53.0, 16059.583333333401)	(54.0, 21488.916666666646)	(55.0, 15981.666666666706)	(56.0, 8462.999999999987)	(57.0, 4855.750000000001)	(58.0, 6413.749999999991)	(59.0, 6107.416666666662)	(60.0, 2448.4166666666665)	(61.0, 866.5000000000002)	(62.0, 378.16666666666663)	(63.0, 209.41666666666669)	(64.0, 172.33333333333334)	(65.0, 183.58333333333337)	(66.0, 205.66666666666669)	(67.0, 185.41666666666666)	(68.0, 96.66666666666667)	(69.0, 35.25)	(70.0, 12.75)	(71.0, 6.5)	(72.0, 1.25)	(73.0, 1.8333333333333333)	(74.0, 1.0)	(75.0, 1.0)	(76.0, 1.25)	(77.0, 1.5)	(78.0, 0.25)	(79.0, 0.75)	(80.0, 0.5)	(81.0, 0.75)	(82.0, 0.0)	(83.0, 0.25)	(84.0, 0.25)	(85.0, 0.0)	(86.0, 0.5)	(87.0, 0.5)	(88.0, 0.0)	(89.0, 0.25)	(90.0, 0.25)	(91.0, 0.25)	(92.0, 0.75)	(93.0, 0.25)	(94.0, 0.0)	(95.0, 0.25)	(96.0, 0.25)	(97.0, 0.25)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 0.0)
SRR19667523_1	(0.0, 3.0)	(1.0, 1.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.25)	(38.0, 0.25)	(39.0, 1.25)	(40.0, 2.25)	(41.0, 3.333333333333333)	(42.0, 4.083333333333333)	(43.0, 19.833333333333336)	(44.0, 28.333333333333332)	(45.0, 22.75)	(46.0, 73.00000000000001)	(47.0, 231.66666666666697)	(48.0, 721.1666666666683)	(49.0, 2218.3333333333258)	(50.0, 4972.166666666658)	(51.0, 8437.833333333116)	(52.0, 12246.750000000173)	(53.0, 15977.333333333798)	(54.0, 17474.75000000029)	(55.0, 17268.00000000034)	(56.0, 9834.833333333345)	(57.0, 4106.500000000107)	(58.0, 2062.1666666666392)	(59.0, 899.2500000000044)	(60.0, 554.0833333333326)	(61.0, 274.83333333333337)	(62.0, 154.49999999999997)	(63.0, 65.91666666666667)	(64.0, 49.91666666666668)	(65.0, 61.750000000000036)	(66.0, 51.08333333333335)	(67.0, 11.0)	(68.0, 5.75)	(69.0, 1.1666666666666665)	(70.0, 0.25)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR19667523_2	(0.0, 3.0)	(1.0, 1.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 2.0)	(38.0, 3.5)	(39.0, 2.75)	(40.0, 11.75)	(41.0, 23.583333333333332)	(42.0, 16.666666666666668)	(43.0, 7.416666666666667)	(44.0, 7.499999999999999)	(45.0, 19.499999999999996)	(46.0, 49.6666666666667)	(47.0, 227.75000000000026)	(48.0, 1004.1666666666696)	(49.0, 2869.6666666666715)	(50.0, 4739.916666666673)	(51.0, 6091.999999999978)	(52.0, 10999.166666666686)	(53.0, 16888.416666666722)	(54.0, 20783.333333333314)	(55.0, 16914.000000000036)	(56.0, 7727.66666666666)	(57.0, 3347.833333333334)	(58.0, 1846.0833333333328)	(59.0, 956.9166666666667)	(60.0, 428.49999999999994)	(61.0, 219.00000000000003)	(62.0, 154.16666666666666)	(63.0, 126.74999999999994)	(64.0, 92.58333333333334)	(65.0, 87.08333333333333)	(66.0, 75.75)	(67.0, 63.333333333333336)	(68.0, 31.25)	(69.0, 12.5)	(70.0, 4.5)	(71.0, 3.0)	(72.0, 1.5)	(73.0, 1.0)	(74.0, 0.75)	(75.0, 0.75)	(76.0, 0.5)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.75)	(80.0, 0.75)	(81.0, 0.25)	(82.0, 0.5)	(83.0, 0.5)	(84.0, 0.75)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.25)	(88.0, 0.0)	(89.0, 0.25)	(90.0, 0.75)	(91.0, 0.25)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 0.25)	(95.0, 0.25)	(96.0, 0.5)	(97.0, 0.5)	(98.0, 0.25)	(99.0, 0.0)	(100.0, 0.3333333333333333)
