Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR19667519_1	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 7.0)	(14.0, 40.0)	(15.0, 106.0)	(16.0, 253.0)	(17.0, 482.0)	(18.0, 997.0)	(19.0, 2131.0)	(20.0, 4947.0)	(21.0, 9865.0)	(22.0, 13568.0)	(23.0, 14226.0)	(24.0, 14680.0)	(25.0, 15292.0)	(26.0, 16241.0)	(27.0, 17339.0)	(28.0, 18505.0)	(29.0, 20539.0)	(30.0, 22934.0)	(31.0, 25531.0)	(32.0, 28861.0)	(33.0, 33257.0)	(34.0, 38366.0)	(35.0, 44671.0)	(36.0, 36531.0)	(37.0, 3069.0)
SRR19667519_2	(11.0, 27.0)	(12.0, 134.0)	(13.0, 237.0)	(14.0, 776.0)	(15.0, 3335.0)	(16.0, 6146.0)	(17.0, 6006.0)	(18.0, 5497.0)	(19.0, 5275.0)	(20.0, 4781.0)	(21.0, 4724.0)	(22.0, 5921.0)	(23.0, 8700.0)	(24.0, 12430.0)	(25.0, 16547.0)	(26.0, 21015.0)	(27.0, 26465.0)	(28.0, 32213.0)	(29.0, 37958.0)	(30.0, 42121.0)	(31.0, 46171.0)	(32.0, 44055.0)	(33.0, 33555.0)	(34.0, 14852.0)	(35.0, 2158.0)	(36.0, 641.0)	(37.0, 699.0)									
SRR19667520_1	(14.0, 7.0)	(15.0, 47.0)	(16.0, 94.0)	(17.0, 192.0)	(18.0, 489.0)	(19.0, 1230.0)	(20.0, 2783.0)	(21.0, 6038.0)	(22.0, 8374.0)	(23.0, 8947.0)	(24.0, 9322.0)	(25.0, 10002.0)	(26.0, 10633.0)	(27.0, 11042.0)	(28.0, 12055.0)	(29.0, 13141.0)	(30.0, 14682.0)	(31.0, 16613.0)	(32.0, 18698.0)	(33.0, 21659.0)	(34.0, 25153.0)	(35.0, 29200.0)	(36.0, 25203.0)	(37.0, 2288.0)												
SRR19667520_2	(10.0, 1.0)	(11.0, 20.0)	(12.0, 94.0)	(13.0, 105.0)	(14.0, 441.0)	(15.0, 2154.0)	(16.0, 3955.0)	(17.0, 3713.0)	(18.0, 3456.0)	(19.0, 3338.0)	(20.0, 2958.0)	(21.0, 2884.0)	(22.0, 3410.0)	(23.0, 4825.0)	(24.0, 7345.0)	(25.0, 10073.0)	(26.0, 13049.0)	(27.0, 16431.0)	(28.0, 20279.0)	(29.0, 24127.0)	(30.0, 27394.0)	(31.0, 30309.0)	(32.0, 30082.0)	(33.0, 23529.0)	(34.0, 11108.0)	(35.0, 1866.0)	(36.0, 445.0)	(37.0, 501.0)								
SRR19667521_1	(2.0, 15.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 8.0)	(16.0, 23.0)	(17.0, 53.0)	(18.0, 145.0)	(19.0, 275.0)	(20.0, 610.0)	(21.0, 1482.0)	(22.0, 2355.0)	(23.0, 2881.0)	(24.0, 3155.0)	(25.0, 3630.0)	(26.0, 3918.0)	(27.0, 4377.0)	(28.0, 5011.0)	(29.0, 5739.0)	(30.0, 6819.0)	(31.0, 8162.0)	(32.0, 9898.0)	(33.0, 12594.0)	(34.0, 16794.0)	(35.0, 23997.0)	(36.0, 41290.0)	(37.0, 50057.0)
SRR19667521_2	(2.0, 16.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 21.0)	(12.0, 222.0)	(13.0, 239.0)	(14.0, 174.0)	(15.0, 198.0)	(16.0, 296.0)	(17.0, 459.0)	(18.0, 682.0)	(19.0, 960.0)	(20.0, 1294.0)	(21.0, 1664.0)	(22.0, 2173.0)	(23.0, 2923.0)	(24.0, 4174.0)	(25.0, 5450.0)	(26.0, 6479.0)	(27.0, 8183.0)	(28.0, 10007.0)	(29.0, 13035.0)	(30.0, 16914.0)	(31.0, 21556.0)	(32.0, 26832.0)	(33.0, 30497.0)	(34.0, 27931.0)	(35.0, 15615.0)	(36.0, 3328.0)	(37.0, 1967.0)
SRR19667522_1	(2.0, 18.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 5.0)	(15.0, 9.0)	(16.0, 29.0)	(17.0, 95.0)	(18.0, 230.0)	(19.0, 407.0)	(20.0, 896.0)	(21.0, 2084.0)	(22.0, 3499.0)	(23.0, 4424.0)	(24.0, 5057.0)	(25.0, 5722.0)	(26.0, 6213.0)	(27.0, 7061.0)	(28.0, 8173.0)	(29.0, 9409.0)	(30.0, 11071.0)	(31.0, 13516.0)	(32.0, 16396.0)	(33.0, 20845.0)	(34.0, 27003.0)	(35.0, 39420.0)	(36.0, 68603.0)	(37.0, 92842.0)
SRR19667522_2	(2.0, 18.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 39.0)	(12.0, 328.0)	(13.0, 329.0)	(14.0, 252.0)	(15.0, 260.0)	(16.0, 427.0)	(17.0, 761.0)	(18.0, 1131.0)	(19.0, 1486.0)	(20.0, 2112.0)	(21.0, 2691.0)	(22.0, 3435.0)	(23.0, 4856.0)	(24.0, 7020.0)	(25.0, 8935.0)	(26.0, 11058.0)	(27.0, 13745.0)	(28.0, 17602.0)	(29.0, 22439.0)	(30.0, 28850.0)	(31.0, 36959.0)	(32.0, 45456.0)	(33.0, 51258.0)	(34.0, 47881.0)	(35.0, 27549.0)	(36.0, 5031.0)	(37.0, 1118.0)
SRR19667523_1	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 5.0)	(15.0, 15.0)	(16.0, 31.0)	(17.0, 87.0)	(18.0, 157.0)	(19.0, 361.0)	(20.0, 845.0)	(21.0, 1810.0)	(22.0, 2834.0)	(23.0, 3628.0)	(24.0, 4114.0)	(25.0, 4531.0)	(26.0, 5124.0)	(27.0, 5741.0)	(28.0, 6530.0)	(29.0, 7617.0)	(30.0, 8976.0)	(31.0, 10861.0)	(32.0, 13339.0)	(33.0, 17202.0)	(34.0, 22540.0)	(35.0, 32414.0)	(36.0, 56437.0)	(37.0, 77280.0)
SRR19667523_2	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 21.0)	(12.0, 229.0)	(13.0, 259.0)	(14.0, 188.0)	(15.0, 214.0)	(16.0, 364.0)	(17.0, 610.0)	(18.0, 830.0)	(19.0, 1195.0)	(20.0, 1565.0)	(21.0, 2001.0)	(22.0, 2690.0)	(23.0, 3559.0)	(24.0, 5217.0)	(25.0, 6645.0)	(26.0, 8391.0)	(27.0, 10145.0)	(28.0, 13027.0)	(29.0, 16865.0)	(30.0, 22217.0)	(31.0, 28892.0)	(32.0, 36586.0)	(33.0, 43300.0)	(34.0, 43492.0)	(35.0, 27438.0)	(36.0, 5361.0)	(37.0, 1178.0)
