Sample	Unique Reads	Duplicate Reads
SRR19667519_1	34107	348332
SRR19667519_2	55455	326984
SRR19667520_1	24527	223365
SRR19667520_2	36643	211249
SRR19667521_1	15443	187847
SRR19667521_2	18738	184552
SRR19667522_1	20304	322723
SRR19667522_2	28286	314741
SRR19667523_1	16749	265733
SRR19667523_2	22199	260283
SRR19667524_1	18740	230264
SRR19667524_2	22112	226892
SRR19667525_1	13653	167059
SRR19667525_2	16648	164064
SRR19667526_1	13545	144961
SRR19667526_2	15466	143040
SRR19667527_1	15522	195864
SRR19667527_2	22549	188837
SRR19667528_1	35448	565946
SRR19667528_2	47652	553742
SRR19667529_1	8992	78526
SRR19667529_2	10532	76986
SRR19667530_1	7465	62246
SRR19667530_2	8360	61351
SRR19667531_1	46613	868687
SRR19667531_2	62545	852755
SRR19667532_1	13625	202292
SRR19667532_2	13782	202135
SRR19667533_1	28521	427716
SRR19667533_2	36670	419567
SRR19667534_1	15978	155073
SRR19667534_2	18042	153009
SRR19667535_1	19779	190937
SRR19667535_2	23686	187030
SRR19667536_1	17684	121013
SRR19667536_2	19033	119664
SRR19667537_1	18431	218015
SRR19667537_2	20640	215806
SRR19667538_1	14009	159370
SRR19667538_2	15168	158211
SRR19667539_1	13295	136027
SRR19667539_2	14311	135011
SRR19667540_1	21266	243756
SRR19667540_2	23609	241413
SRR19667541_1	14910	193536
SRR19667541_2	19214	189232
SRR19667542_1	9002	101547
SRR19667542_2	11478	99071
SRR19667543_1	13818	144967
SRR19667543_2	15639	143146
SRR19667544_1	125838	2050592
SRR19667544_2	262511	1913919
SRR19667545_1	41218	351665
SRR19667545_2	55922	336961
SRR19667546_1	42314	264097
SRR19667546_2	61442	244969
SRR19667547_1	38989	339571
SRR19667547_2	53794	324766
SRR19667548_1	36699	347949
SRR19667548_2	54000	330648
SRR19667549_1	60745	661676
SRR19667549_2	101344	621077
SRR19667550_1	24768	179274
SRR19667550_2	31657	172385
SRR19667551_1	17605	153232
SRR19667551_2	27898	142939
SRR19667552_1	37952	378021
SRR19667552_2	60956	355017
SRR19667553_1	20343	162666
SRR19667553_2	29596	153413
SRR19667554_1	14807	207438
SRR19667554_2	18703	203542
SRR19667555_1	19141	215663
SRR19667555_2	19212	215592
