Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR19667519_1	(1.0, 6.302181524373822)	(2.0, 1.989336861564851)	(3.0, 1.2088202301543514)	(4.0, 0.8942602611135371)	(5.0, 0.8236607668150999)	(6.0, 0.6510842251966981)	(7.0, 0.5619196786938571)	(8.0, 0.4790306427953216)	(9.0, 0.43536354817369566)	('>10', 8.09305536307751)	('>50', 4.09058699557315)	('>100', 12.427341353784525)	('>500', 7.03563182625203)	('>1k', 20.86764163696694)	('>5k', 10.218361621068981)	('>10k+', 23.921723464395626)
SRR19667519_2	(1.0, 12.086371944283925)	(2.0, 1.888405732678937)	(3.0, 1.1295919087749942)	(4.0, 0.841964339410991)	(5.0, 0.6497768271541344)	(6.0, 0.6087245286176357)	(7.0, 0.39718752533083707)	(8.0, 0.4100000261479608)	(9.0, 0.33652425615588366)	('>10', 7.093418819733344)	('>50', 4.252704352851043)	('>100', 16.256187261236434)	('>500', 9.913476397543137)	('>1k', 23.51669155080941)	('>5k', 10.889056816904134)	('>10k+', 9.7299177123672)
SRR19667520_1	(1.0, 6.989737466315976)	(2.0, 2.252593871524696)	(3.0, 1.3590595904668161)	(4.0, 0.9923676439739886)	(5.0, 0.7886498959224177)	(6.0, 0.677714488567602)	(7.0, 0.6748906781985703)	(8.0, 0.4937634130992529)	(9.0, 0.5046552530940894)	('>10', 8.863537346909139)	('>50', 4.269601277975893)	('>100', 14.17431784809514)	('>500', 9.442821874041922)	('>1k', 18.76220289480903)	('>5k', 11.780130056637567)	('>10k+', 17.973956400367904)
SRR19667520_2	(1.0, 12.181111129040065)	(2.0, 2.0105529827505526)	(3.0, 1.2440901682990981)	(4.0, 0.8132573862811224)	(5.0, 0.6494763848772853)	(6.0, 0.5760573152824617)	(7.0, 0.451809659045068)	(8.0, 0.46471850644635565)	(9.0, 0.46834911977796784)	('>10', 8.139431687993158)	('>50', 5.723056815064624)	('>100', 18.130476175108516)	('>500', 8.863940748390428)	('>1k', 24.30614945218079)	('>5k', 6.662578864989592)	('>10k+', 9.314943604472916)
SRR19667521_1	(1.0, 5.052880121993212)	(2.0, 1.9656648138127797)	(3.0, 1.2174725761227803)	(4.0, 0.8736288061390133)	(5.0, 0.6935904373063112)	(6.0, 0.6316100152491515)	(7.0, 0.4958433764572777)	(8.0, 0.45255546263957896)	(9.0, 0.4117270893797039)	('>10', 7.603915588568055)	('>50', 3.5363274140390573)	('>100', 12.730090019184418)	('>500', 13.488120419105712)	('>1k', 34.99926213783265)	('>5k', 4.414875301293718)	('>10k+', 11.43243642087658)
SRR19667521_2	(1.0, 6.898027448472625)	(2.0, 1.9381179595651534)	(3.0, 1.1304048403758178)	(4.0, 0.8382114221063506)	(5.0, 0.5361798416055881)	(6.0, 0.40434846770623245)	(7.0, 0.3718825323429583)	(8.0, 0.3699148998966993)	(9.0, 0.2789118992572187)	('>10', 5.923065571351271)	('>50', 3.7857248266023906)	('>100', 17.576860642431992)	('>500', 14.195484283535837)	('>1k', 32.47921688228639)	('>5k', 7.059865217177432)	('>10k+', 6.213783265286044)
SRR19667522_1	(1.0, 3.7717147629778416)	(2.0, 1.6284432420771544)	(3.0, 0.9786401653514154)	(4.0, 0.7824456966944292)	(5.0, 0.6311456532576153)	(6.0, 0.48276083223769556)	(7.0, 0.4367003180507657)	(8.0, 0.4127954942322325)	(9.0, 0.3620706241782717)	('>10', 6.701804814198299)	('>50', 3.331224655785113)	('>100', 11.15422401152096)	('>500', 8.172826045763161)	('>1k', 27.882936328627196)	('>5k', 20.40247560687643)	('>10k+', 12.867791748171426)
SRR19667522_2	(1.0, 6.1624886670728545)	(2.0, 1.6960764021491022)	(3.0, 1.0468563699067421)	(4.0, 0.7731169849603675)	(5.0, 0.5728412049197293)	(6.0, 0.5002521667390614)	(7.0, 0.3652773688368554)	(8.0, 0.34516233416028475)	(9.0, 0.33583362242622306)	('>10', 4.596139662475548)	('>50', 2.9225104729365325)	('>100', 14.783967442796047)	('>500', 9.516160535468053)	('>1k', 34.887632751940814)	('>5k', 12.074268206292798)	('>10k+', 9.421415806918988)
SRR19667523_1	(1.0, 3.810862285030551)	(2.0, 1.6057660311099466)	(3.0, 0.9473169971892015)	(4.0, 0.7221699081711401)	(5.0, 0.5841080139619516)	(6.0, 0.4970228191530788)	(7.0, 0.451002187750016)	(8.0, 0.40214951749137995)	(9.0, 0.3727671143648091)	('>10', 6.6761775971566335)	('>50', 3.692624662810374)	('>100', 12.089265864727663)	('>500', 8.583555766385114)	('>1k', 30.533272916504416)	('>5k', 7.260993620832477)	('>10k+', 21.770944697361248)
SRR19667523_2	(1.0, 5.848160236758448)	(2.0, 1.6737349636437013)	(3.0, 0.9674952740351598)	(4.0, 0.6966815584709822)	(5.0, 0.49560679972529226)	(6.0, 0.46091432374452174)	(7.0, 0.36427099779808975)	(8.0, 0.3086922352574677)	(9.0, 0.32179041496449334)	('>10', 4.840662413888318)	('>50', 2.9230181038083844)	('>100', 14.74253226754271)	('>500', 9.871071431100034)	('>1k', 34.634419184231206)	('>5k', 9.808058566563533)	('>10k+', 12.042891228467655)
