Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR19667519_1	SRR19667519_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	382439.0	114.6 Mbp	0.0	35-301	55.0	8.918285007543687	598.0344355570431	301	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR19667519_2	SRR19667519_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	382439.0	114.5 Mbp	0.0	36-301	55.0	14.50035169007345	599.4121585403162	301	pass	fail	pass	fail	warn	warn	warn	fail	fail	pass
SRR19667520_1	SRR19667520_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	247892.0	74.2 Mbp	0.0	40-301	55.0	9.894228131605699	597.7737906023591	301	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR19667520_2	SRR19667520_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	247892.0	74.2 Mbp	0.0	40-301	55.0	14.781840478918237	599.2811506623852	301	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
SRR19667521_1	SRR19667521_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	203290.0	60.5 Mbp	0.0	35-301	54.0	7.5965369668945835	593.8162157508978	301	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
SRR19667521_2	SRR19667521_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	203290.0	60.4 Mbp	0.0	35-301	54.0	9.217374194500467	595.3795710561267	301	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR19667522_1	SRR19667522_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	343027.0	102.8 Mbp	0.0	35-301	54.0	5.919067595262181	598.498384966781	301	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
SRR19667522_2	SRR19667522_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	343027.0	102.6 Mbp	0.0	35-301	53.0	8.245998128427209	599.2361315581572	301	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR19667523_1	SRR19667523_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	282482.0	84.6 Mbp	0.0	35-301	53.0	5.928873344142282	598.0867205698062	301	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
SRR19667523_2	SRR19667523_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	282482.0	84.5 Mbp	0.0	35-301	53.0	7.858553819358402	598.9065214774747	301	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
