Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
SRR19667519_1	91.08171499245631	55.0	598.0344355570431	301	40.0	0.382439
SRR19667519_2	85.49964830992656	55.0	599.4121585403162	301	40.0	0.382439
SRR19667520_1	90.1057718683943	55.0	597.7737906023591	301	40.0	0.247892
SRR19667520_2	85.21815952108176	55.0	599.2811506623852	301	50.0	0.247892
SRR19667521_1	92.40346303310541	54.0	593.8162157508978	301	30.0	0.20329
SRR19667521_2	90.78262580549953	54.0	595.3795710561267	301	40.0	0.20329
SRR19667522_1	94.08093240473782	54.0	598.498384966781	301	30.0	0.34302699999999997
SRR19667522_2	91.7540018715728	53.0	599.2361315581572	301	40.0	0.34302699999999997
SRR19667523_1	94.07112665585771	53.0	598.0867205698062	301	30.0	0.282482
SRR19667523_2	92.1414461806416	53.0	598.9065214774747	301	40.0	0.282482
SRR19667524_1	92.47401648166294	52.0	599.1533770541839	301	30.0	0.24900399999999998
SRR19667524_2	91.11982136833143	52.0	600.34874941768	301	40.0	0.24900399999999998
SRR19667525_1	92.44488467838329	53.0	598.1752346274735	301	40.0	0.18071199999999998
SRR19667525_2	90.78755146310151	53.0	599.3752988180088	301	50.0	0.18071199999999998
SRR19667526_1	91.45458216092766	52.0	598.2760841860876	301	30.0	0.15850599999999998
SRR19667526_2	90.24264065713601	52.0	599.9889720262955	301	40.0	0.15850599999999998
SRR19667527_1	92.65703499758735	56.0	597.338695561674	301	40.0	0.211386
SRR19667527_2	89.3327845741913	55.0	599.417823318479	301	50.0	0.211386
SRR19667528_1	94.10569443659232	53.0	598.791172675484	301	30.0	0.601394
SRR19667528_2	92.07640914275832	53.0	599.5949535579005	301	40.0	0.601394
SRR19667529_1	89.72668479627048	53.0	599.5072499371557	301	30.0	0.087518
SRR19667529_2	87.96590415685915	53.0	600.2109737425444	301	40.0	0.087518
SRR19667530_1	89.2915034929925	53.0	598.8731118474847	301	30.0	0.069711
SRR19667530_2	88.00763150722267	53.0	599.9505099625597	301	50.0	0.069711
SRR19667531_1	94.90735278050913	53.0	597.6608576423031	301	40.0	0.9153
SRR19667531_2	93.16683054736151	53.0	598.8404632360974	301	50.0	0.9153
SRR19667532_1	93.68970484028586	53.0	598.806353830407	301	40.0	0.215917
SRR19667532_2	93.61699171440878	53.0	599.7294979089187	301	50.0	0.215917
SRR19667533_1	93.74864379697394	53.0	597.0268150106194	301	40.0	0.456237
SRR19667533_2	91.962510712634	53.0	598.2614606005212	301	50.0	0.456237
SRR19667534_1	90.65892628514302	54.0	587.7236730565737	301	40.0	0.17105099999999998
SRR19667534_2	89.45226862163916	54.0	590.6240331830858	301	50.0	0.17105099999999998
SRR19667535_1	90.61343229749995	53.0	594.7053854477116	301	40.0	0.210716
SRR19667535_2	88.75927789062055	53.0	596.1676521953719	301	50.0	0.210716
SRR19667536_1	87.25062546414125	54.0	581.7881461026554	301	40.0	0.138697
SRR19667536_2	86.27800168713094	54.0	585.0099497465699	301	50.0	0.138697
SRR19667537_1	92.20498549351649	54.0	595.6292049770349	301	40.0	0.236446
SRR19667537_2	91.27073412111011	54.0	596.7689366705295	301	50.0	0.236446
SRR19667538_1	91.92001338108999	54.0	591.9880002768501	301	30.0	0.173379
SRR19667538_2	91.25153565310677	54.0	593.914871466556	301	50.0	0.173379
SRR19667539_1	91.09642249635017	53.0	588.9808300183496	301	30.0	0.14932199999999998
SRR19667539_2	90.41601371532661	53.0	591.4848481804422	301	50.0	0.14932199999999998
SRR19667540_1	91.97576050290165	53.0	593.8128136532061	301	40.0	0.265022
SRR19667540_2	91.09168295462264	53.0	595.9431160431964	301	40.0	0.265022
SRR19667541_1	92.84706830546041	55.0	599.3796618788559	301	40.0	0.208446
SRR19667541_2	90.78226495111444	54.0	600.2867745123438	301	50.0	0.208446
SRR19667542_1	91.8570045862016	52.0	599.6909877068088	301	40.0	0.110549
SRR19667542_2	89.61727378809397	53.0	600.4003292657554	301	50.0	0.110549
SRR19667543_1	91.29766665617029	53.0	526.977293195201	301	40.0	0.15878499999999998
SRR19667543_2	90.15083288723746	53.0	536.7042447334446	301	50.0	0.15878499999999998
SRR19667544_1	94.21816003506581	53.0	598.6500025270742	301	40.0	2.17643
SRR19667544_2	87.93847747727494	54.0	599.9184026134542	301	40.0	2.17643
SRR19667545_1	89.50883596388746	55.0	590.5458787985227	301	40.0	0.392883
SRR19667545_2	85.76624593072238	55.0	597.0814211864601	301	40.0	0.392883
SRR19667546_1	86.19044355457213	54.0	590.2466866398399	301	50.0	0.306411
SRR19667546_2	79.94784782530654	55.0	591.6738873604407	301	50.0	0.306411
SRR19667547_1	89.70070794590025	55.0	598.5419880600169	301	40.0	0.37856
SRR19667547_2	85.78983516483517	55.0	599.6983450443787	301	50.0	0.37856
SRR19667548_1	90.45906907094279	54.0	599.3255924897569	301	40.0	0.384648
SRR19667548_2	85.96119049104637	55.0	600.165244587259	301	50.0	0.384648
SRR19667549_1	91.59146813284775	55.0	599.1584166296384	301	40.0	0.722421
SRR19667549_2	85.97172426433946	55.0	600.1192621753797	301	50.0	0.722421
SRR19667550_1	87.8613226688623	54.0	584.2686971309828	301	40.0	0.204042
SRR19667550_2	84.48505699806903	54.0	590.1699454033974	301	50.0	0.204042
SRR19667551_1	89.69485532993438	55.0	597.4987414904266	301	50.0	0.170837
SRR19667551_2	83.66981391618911	55.0	599.0869805721243	301	50.0	0.170837
SRR19667552_1	90.87633091570848	54.0	597.3671656573864	301	40.0	0.415973
SRR19667552_2	85.34616429431718	54.0	599.0846208768357	301	40.0	0.415973
SRR19667553_1	88.88415323836533	55.0	598.0987383134163	301	40.0	0.183009
SRR19667553_2	83.82811774284325	55.0	599.466198383686	301	50.0	0.183009
SRR19667554_1	93.33753290287746	52.0	598.5402686224662	301	40.0	0.222245
SRR19667554_2	91.58451258745978	53.0	599.847875092803	301	50.0	0.222245
SRR19667555_1	91.84809458101225	53.0	597.6299935265157	301	40.0	0.23480399999999998
SRR19667555_2	91.81785659528799	53.0	598.871901671181	301	50.0	0.23480399999999998
