Module	Section	Sample Name	Source
FastQC	all_sections	SRR19667549_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667549_1_fastqc.zip
FastQC	all_sections	SRR19667535_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667535_2_fastqc.zip
FastQC	all_sections	SRR19667524_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667524_2_fastqc.zip
FastQC	all_sections	SRR19667549_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667549_2_fastqc.zip
FastQC	all_sections	SRR19667524_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667524_1_fastqc.zip
FastQC	all_sections	SRR19667522_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667522_2_fastqc.zip
FastQC	all_sections	SRR19667537_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667537_2_fastqc.zip
FastQC	all_sections	SRR19667540_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667540_1_fastqc.zip
FastQC	all_sections	SRR19667519_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667519_1_fastqc.zip
FastQC	all_sections	SRR19667529_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667529_1_fastqc.zip
FastQC	all_sections	SRR19667523_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667523_2_fastqc.zip
FastQC	all_sections	SRR19667525_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667525_2_fastqc.zip
FastQC	all_sections	SRR19667521_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667521_1_fastqc.zip
FastQC	all_sections	SRR19667527_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667527_2_fastqc.zip
FastQC	all_sections	SRR19667528_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667528_2_fastqc.zip
FastQC	all_sections	SRR19667531_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667531_2_fastqc.zip
FastQC	all_sections	SRR19667542_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667542_1_fastqc.zip
FastQC	all_sections	SRR19667554_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667554_2_fastqc.zip
FastQC	all_sections	SRR19667519_2	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667519_2_fastqc.zip
FastQC	all_sections	SRR19667520_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667520_1_fastqc.zip
FastQC	all_sections	SRR19667537_1	/home/cristinasald/conda-projects/16S-zoonotic-bacteria/datasets/fasqc_reports/SRR19667537_1_fastqc.zip
