id	organism	host	region
SRR19667519	Cow	Aberdeen Angus	Southeast Kazakhstan
SRR19667520	Cow	Aberdeen Angus	Southeast Kazakhstan
SRR19667521	Cow	Kazakh White-headed	Southeast Kazakhstan
SRR19667522	Cow	Kazakh White-headed	Southeast Kazakhstan
SRR19667523	Cow	Kazakh White-headed	Southeast Kazakhstan
SRR19667524	Cow	Kazakh White-headed	North Kazakhstan
SRR19667525	Cow	Aberdeen Angus	South Kazakhstan 
SRR19667526	Cow	Aberdeen Angus	South Kazakhstan
SRR19667527	Cow	Aberdeen Angus	South Kazakhstan
SRR19667528	Cow	Kazakh White-headed	South Kazakhstan
SRR19667529	Cow	Kazakh White-headed	South Kazakhstan
SRR19667530	Cow	Kazakh White-headed	South Kazakhstan
SRR19667531	Cow	Aberdeen Angus	West Kazakhstan
SRR19667532	Cow	Kazakh White-headed	North Kazakhstan
SRR19667533	Cow	Aberdeen Angus	West Kazakhstan
SRR19667534	Cow	Aberdeen Angus	West Kazakhstan
SRR19667535	Cow	Hereford	West Kazakhstan
SRR19667536	Cow	Hereford	West Kazakhstan
SRR19667537	Cow	Hereford	West Kazakhstan
SRR19667538	Cow	Kazakh White-headed	West Kazakhstan
SRR19667539	Cow	Kazakh White-headed	West Kazakhstan
SRR19667540	Cow	Kazakh White-headed	West Kazakhstan
SRR19667541	Cow	Alatau	Southeast Kazakhstan
SRR19667542	Cow	Kazakh White-headed	Southeast Kazakhstan
SRR19667543	Cow	Aberdeen Angus	North Kazakhstan
SRR19667544	Cow	Alatau	Southeast Kazakhstan
SRR19667545	Cow	Alatau	Southeast Kazakhstan
SRR19667546	Cow	Alatau	Southeast Kazakhstan
SRR19667547	Cow	Alatau	Southeast Kazakhstan
SRR19667548	Cow	Alatau	Southeast Kazakhstan
SRR19667549	Cow	Alatau	Southeast Kazakhstan
SRR19667550	Cow	Local	Southeast Kazakhstan
SRR19667551	Cow	Local	Southeast Kazakhstan
SRR19667552	Cow	Local	Southeast Kazakhstan
SRR19667553	Cow	Aberdeen Angus	Southeast Kazakhstan
SRR19667554	Cow	Aberdeen Angus	North Kazakhstan
SRR19667555	Cow	Aberdeen Angus	North Kazakhstan
